postal_code,property_count,avg_price_m2,longitude,latitude
2290,2,2255.4839880250383,4.769482,51.2023448
2300,73,2733.793031179617,4.948461,51.3233812
2310,19,2705.802390871786,4.760708,51.3495046
2320,2,2617.863804896023,4.7440656414186,51.39574085
2321,2,2622.871046228711,4.7372548575575,51.46092495
2322,1,2575.3968253968255,4.8070790487489,51.43155825
2328,1,1956.081081081081,4.8051679,51.4743516
2330,1,1355.2036199095023,4.8627541,51.3580597
2340,23,2051.49015705266,4.7821797,51.2988018
2350,5,2940.1285139579386,4.8878026,51.3129153
2360,4,1915.6737556261228,4.9817086,51.3178319
2370,4,2374.2759574890306,5.0864557,51.3202315
2380,1,5935.251798561151,5.0198122919518,51.3808625
2381,1,2710.0,5.0182445420616,51.41206885
2382,2,2125.096525096525,5.0488069670452,51.45063155
2390,17,2904.548261246529,4.7149828,51.3001124
2400,43,2116.0159617460317,5.1155267,51.1840421
2430,10,2524.6418097617084,4.9972890275518,51.10171295
2431,8,2139.872854958725,4.9805536902848,51.0592049
2440,49,2593.8669903452947,4.9903187,51.1610826
2450,3,1778.5684457060088,5.0772388,51.1317433
2460,9,2197.5603463172056,4.8965455,51.2422595
2470,3,2387.234308119903,5.0843883,51.2675862
2480,3,1878.0683008589986,5.113243,51.2395713
2490,22,2189.8850867346837,5.1937730761009,51.171804
2500,36,2924.648543866884,4.6033828110877,51.0929433
2520,15,3066.6177143097693,4.5637563614009,51.1961732
2530,5,4672.535502932946,4.510406865149,51.1596941
2531,5,3375.1045747246776,4.5226229,51.1753099
2540,3,5364.84375,4.477387,51.1486117
2547,5,3217.941803805849,4.4922187,51.1268305
2550,11,3152.1239690222706,4.453,51.1052659
2560,13,2530.672898077697,4.6709517317049,51.1611887
2570,17,2701.8111644641203,4.5061988,51.0957176
2580,45,2675.552844075157,4.6310473,51.0570823
2590,5,2394.631965333158,4.6646313199891,51.12758685
2600,17,3148.31309924121,4.4317026387884,51.1918493
2610,26,3237.5166577648774,4.3876309610455,51.1638451
2620,5,1933.6416873227677,4.3420555,51.1442105
2627,4,2719.0810932365803,4.3361875,51.1245635
2630,4,2576.225490196078,4.3870241,51.133297
2640,22,2775.9417192861188,4.4593335,51.1741789
2650,14,3744.1454616437513,4.4384284,51.1574786
2660,15,2833.402239590033,4.3511502171395,51.1757824
2800,64,3070.105794589014,4.471321199996,51.02803335
2801,1,2544.4444444444443,4.4124762563322,51.0519355
2811,5,4043.6121585242063,4.4211910518318,51.01166405
2812,5,3065.846189157089,4.5182999731643,51.0083206
2820,28,2889.941893122625,4.5842221,51.0010818
2830,32,2513.193516478455,4.3723517,51.0565194
2840,8,3608.3916839328185,4.4058899586301,51.1044854
2845,6,2168.756400949133,4.3303396,51.1098649
2850,14,2550.951592342313,4.3667216,51.0873789
2860,22,2915.2856877895097,4.5114278140147,51.06232435
2861,7,2590.2712119767957,4.5799614,51.0624913
2870,23,3022.381539574533,4.2808516096232,51.05486435
2880,6,3139.260796947116,4.2423260051519,51.0924649
2890,3,3288.843086282208,4.2519213925908,51.0451478
2900,6,2796.5128891806235,4.4980446,51.2516344
2910,7,3191.7375122657404,4.4701309,51.4677957
2920,3,2991.478882348469,4.4763255,51.3832723
2930,29,3436.2301621654,4.489307,51.2930933
2940,8,2909.2439312905485,4.4046996,51.3066168
2950,10,3382.3087652822524,4.4312318305558,51.332759
2960,19,3187.6238292731887,4.5972381789962,51.3347679
2970,11,3833.2474856820536,4.5556038,51.2624856
2980,7,2802.454809059977,4.6455565344486,51.2428446
2990,5,2895.3375048897997,4.6428328,51.3994474
3000,14,6402.249502517762,4.6929903215189,50.8812533
